Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
1319,Mariage,939,4225,182,1809-02-07,179/317
1320,Publication de mariage,939,4225,182,1809-01-08,209/317
1321,Mariage,936,4641,212,1752-11-21,113/277
1322,Mariage,934,4789,325,1791-11-07,190/204
1323,Mariage,936,5723,73,1696-05-18,71/133
1324,Contrat de mariage,940,5756,56,1738-06-03,n/a
1325,Mariage,930,5782,319,1779-11-09,254/349
1326,Contrat de mariage,936,6416,40,1759-02-11,421 et 422/553
1327,Mariage,936,6981,333,1685-11-05,19/094
1328,Mariage,936,7705,311,1675-01-29,12/159
1329,Mariage,932,7764,325,1727-05-06,133/139
1330,Mariage,936,8017,319,1777-07-08,232/349
1331,Mariage,933,8221,44,1683-11-16,n/a
1332,Mariage,928,4175,143,1857-11-17,35/155
1333,Mariage,929,8191,191,1859-11-22,103/173
1334,Mariage,935,5673,36,1817-02-05,115/283
1335,Mariage,938,4687,121,1754-02-06,132/284
1336,Mariage,937,5780,243,1834-05-30,213/225
1337,Mariage,941,8044,370,1665-02-04,n/a
1338,Mariage,942,3726,243,1867-06-17,198/241
1339,Mariage,942,4594,243,1872-11-05,238/241
1340,Mariage,948,4181,243,1864-06-21,176/241
1341,Mariage,944,4600,277,1747-02-06,45/114
1342,Mariage,948,5747,174,1871-05-02,7/092
1343,Mariage,947,6142,56,1817-12-24,123/249
1344,Mariage,946,6664,90,1830-02-07,141/170
1345,Mariage,943,7369,265,1808-10-18,72/207
1346,Mariage,945,3961,243,1903-01-19,3/076
1347,Mariage,949,5538,165,1747-01-25,42/213
1348,Mariage,950,5218,188,1717-05-24,n/a
1349,Contrat de mariage,952,4484,123,1693-11-22,347 et 348/757
1350,Mariage,958,3838,123,1731-01-30,56/076
1351,Mariage,958,4098,73,1696-06-25,72/133
1352,Mariage,962,4232,319,1773-02-20,194/349
1353,Mariage,961,4520,243,1865-05-30,182/241
1354,Mariage,958,5090,304,1674-02-03,n/a
1355,Mariage,957,5177,243,1834-06-13,214/225
1356,Mariage,956,5592,56,1817-11-17,121/249
1357,Mariage,958,5642,123,1750-04-18,129/215
1358,Mariage,963,6015,57,,11/016
1359,Mariage,958,7501,287,1720-06-04,36/164
1360,Contrat de mariage,960,7524,123,1703-04-01,79 et 80/678
1361,Mariage,958,7529,198,1740-10-11,72/142
1362,Contrat de mariage,958,7892,40,1752-01-31,120 et 121/491
1363,Mariage,959,8273,374,1769-01-30,131/161
1364,Mariage,953,5884,235,1824-07-03,148/211
1365,Mariage,954,8304,243,1896-05-18,171/178
1366,Mariage,955,6665,73,1876-07-24,18/080
1367,Mariage,964,5057,324,1822-05-15,34/181
1368,Mariage,965,6289,73,1758-01-25,126/171
1369,Mariage,966,7231,210,,n/a
1370,Mariage,966,7621,311,1683-08-03,86/159
1371,Mariage,967,6594,284,1905-10-18,n/a
1372,Mariage,970,7028,316,1690-12-02,78/120
1373,Mariage,971,4430,11,1768-10-19,88/157
1374,Mariage,972,4318,283,1661-10-08,n/a
1375,Mariage,972,7417,304,1686-07-01,n/a
1376,Mariage,973,6440,120,1856-07-30,23/161
1377,Mariage,974,3928,319,1777-01-14,226/349
1378,Mariage,969,7527,166,1661-02-08,18/022
1379,Mariage,975,5771,267,,28/033
1380,Mariage,976,7099,174,1737-02-26,12/163
1381,Mariage,977,8316,157,1830-02-10,2/115
1382,Mariage,979,6315,238,1658-05-12,81/166
1383,Mariage,980,5989,44,1786-07-04,9/066
1384,Mariage,981,4337,238,1725-02-12,196/235
1385,Mariage,982,8254,238,1721-02-03,93/235
1386,Mariage,986,3813,271,1684-05-18,74/303
1387,Mariage,978,8179,279,1663-01-07,n/a
1388,Mariage,985,6056,105,1840-07-28,214/363
1389,Mariage,984,6662,183,,n/a
1390,Mariage,983,7419,121,1809-05-17,114/134
1391,Mariage,987,7767,255,1882-02-07,125/135
1392,Mariage,988,8053,185,1889-06-03,32/094
1393,Mariage,989,7000,322,1693-01-27,n/a
1394,Mariage,990,6852,271,1899-05-30,65/070
1395,Mariage,992,6883,271,1902-10-13,14/018
1396,Mariage,991,1007,322,1893-11-20,9/101
1397,Mariage,993,4300,85,1850-02-06,97/110
1398,Mariage,993,5487,85,1834-07-15,350/411
1399,Mariage,993,7318,85,1827-02-19,15/411
1400,Mariage,996,5432,180,,125/319
1401,Mariage,995,5935,180,1698-01-27,109/114
1402,Mariage,994,6213,179,1765-05-07,134/303
1403,Mariage,995,8292,21,1877-02-04,3/043
1404,Mariage,1002,5071,180,1897-05-31,108/141
1405,Mariage,1001,4524,244,1888-04-29,n/a
1406,Mariage,1003,7176,322,1892-11-22,104/106
1407,Mariage,1004,5791,322,1779-09-06,170/338
1408,Mariage,1006,5632,255,1868-05-04,99/104
1409,Mariage,1005,7339,271,1882-07-25,138/142
1410,Mariage,1015,5191,322,1812-07-10,16/424
1411,Mariage,1013,5293,37,1831-01-25,58/414
1412,Mariage,1011,5494,322,1866-09-23,126/149
1413,Mariage,1014,6720,197,1763-02-01,18/156
1414,Mariage,1009,7152,322,1841-10-04,432/469
1415,Mariage,1008,7592,322,1666-02-02,15/028
1416,Mariage,1012,7648,85,1779-08-18,19/157
1417,Mariage,1010,8230,322,1774-11-22,107/338
1418,Mariage,1018,4534,322,1681-02-11,5/171
1419,Mariage,1017,4557,322,1751-02-01,166/222
1420,Mariage,1016,5246,322,1723-11-16,10/047
1421,Mariage,1019,7616,185,1829-03-01,252/341
1422,Mariage,1020,5418,322,1696-01-10,26/083
1423,Mariage,1021,5097,64,1864-06-29,n/a
1424,Mariage,1022,7340,271,1886-06-08,29/106
1425,Mariage,1023,4196,85,1870-05-17,17/094
1426,Mariage,1027,3679,233,1806-07-13,96/297
1427,Mariage,1030,3874,322,1822-08-11,207/350
1428,Mariage,1026,4341,322,1753-02-27,190/222
1429,Mariage,1026,4652,322,1747-01-30,120/222
1430,Mariage,1029,4737,322,1703-02-13,51/132
1431,Mariage,1027,5052,322,1726-01-22,38/047
1432,Mariage,1027,6250,137,1768-02-15,76/093
1433,Mariage,1025,6267,322,1788-01-15,305/338
1434,Mariage,1027,6559,137,,82/171
1435,Mariage,1028,6699,322,1670-01-28,n/a
1436,Mariage,1024,6766,322,1852-07-04,213/428
1437,Mariage,1027,7248,322,1765-09-24,13/017
1438,Mariage,1027,7870,180,1666-11-24,11/023
1439,Mariage,1037,1055,322,1715-09-16,12/060
1440,Mariage,1037,4148,53,1672-11-26,26
1441,Mariage,1037,4641,322,1669-02-10,18/046
1442,Mariage,1040,4993,135,1783-02-11,360/426
1443,Mariage,1038,5657,322,1673-11-21,64/076
1444,Mariage,1041,6225,322,1663-02-12,1/028
1445,Mariage,1036,6246,120,1779-02-03,74/198
1446,Mariage,1035,6499,108,1829-01-26,223/272
1447,Mariage,1037,6759,322,1709-11-12,31/061
1448,Mariage,1037,6777,197,1763-02-08,18/156
1449,Mariage,1039,6820,129,1759-07-24,66/073
1450,Mariage,1041,7294,322,1673-06-27,56/076
1451,Mariage,1037,7328,137,1773-07-08,20/185
1452,Mariage,1033,4796,85,1864-06-27,91/142
1453,Mariage,1034,7780,185,1842-08-21,306/353
1454,Mariage,1031,5245,271,1882-06-06,135/142
1455,Mariage,1032,3881,322,1873-05-11,46/051
1456,Mariage,1044,4908,137,1768-01-19,75/093
1457,Mariage,1043,6679,322,1734-02-09,108/144
1458,Mariage,1042,7558,322,1715-02-05,9/060
1459,Mariage,1045,5606,137,1822-02-07,128/267
1460,Mariage,1046,4424,322,1716-02-18,16/060
1461,Mariage,1047,7292,322,1668-07-24,4/046
1462,Mariage,1049,4423,322,1725-02-06,29/047
1463,Mariage,1048,4955,229,1769-01-10,86/138
1464,Mariage,1049,6696,233,1743-02-19,33/287
1465,Mariage,1050,8301,185,1846-07-12,80/341
1466,Mariage,1051,4329,229,1740-02-17,11/072
1467,Mariage,1053,4542,322,1767-02-24,24/338
1468,Mariage,1052,7138,229,1790-10-25,13/014
1469,Mariage,1054,5520,322,1877-08-28,47/110
1470,Mariage,1058,5362,233,1819-07-23,77/267
1471,Mariage,1057,5846,182,1699-11-03,123/452
1472,Mariage,1059,6701,322,1670-01-28,n/a
1473,Mariage,1058,7595,251,1751-01-11,3/156
1474,Mariage,1056,8229,322,1774-11-22,107/338
1475,Mariage,1060,7293,322,1673-06-27,56/076
1476,Mariage,1061,6099,322,1727-02-25,4/144
1477,Mariage,1062,5333,322,1723-11-16,12/047
1478,Mariage,1063,4917,322,1673-02-07,47/076
1479,Mariage,1064,7291,322,1667-09-13,23/028
1480,Mariage,1063,7326,322,1699-07-31,77/083
1481,Mariage,1072,3970,322,1845-01-19,317/394
1482,Mariage,1079,4342,137,1704-01-15,9/094
1483,Mariage,1077,4460,322,1813-05-13,80/424
1484,Mariage,1081,4951,281,1846-05-10,196/467
1485,Mariage,1076,5986,262,1734-06-22,127/129
1486,Mariage,1075,6218,180,,156/174
1487,Mariage,1071,6255,281,1818-04-27,350/390
1488,Mariage,1074,6455,322,1758-01-24,17/107
1489,Mariage,1079,6739,137,1777-04-29,51/185
1490,Publication de mariage,1080,7311,244,1849-06-03,127/365
1491,Mariage,1079,7327,137,1795-05-04,11/024
1492,Mariage,1079,7441,21,1898-06-13,113/126
1493,Mariage,1069,7684,322,1827-06-10,185/499
1494,Mariage,1068,7795,322,1809-12-14,263/273
1495,Mariage,1070,7909,293,1825-10-25,159/223
1496,Mariage,1078,7955,37,1852-06-01,224/342
1497,Publication de mariage,1079,8052,322,1847-01-24,211 et 212/403
1498,Mariage,1065,6340,271,1861-08-20,79/170
1499,Mariage,1065,6915,271,1888-09-25,53/106
1500,Mariage,1066,4826,281,1858-02-09,31/147
1501,Mariage,1067,7227,322,1880-11-16,77/110
1502,Mariage,1073,5691,281,1874-05-31,49/134
1503,Mariage,1082,6424,322,1775-02-21,112/338
1504,Mariage,1083,3751,179,1760-10-14,111/303
1505,Mariage,1084,4809,322,1780-01-25,178/338
1506,Mariage,1085,5465,233,1806-06-30,95/297
1507,Mariage,1087,5644,322,1809-01-05,228/273
1508,Mariage,1086,6874,135,1778-01-13,306/426
1509,Mariage,1088,4340,278,1892-10-03,7/011
1510,Mariage,1089,7860,251,1781-02-06,99/156
1511,Mariage,1090,6320,322,1707-03-01,120/132
1512,Mariage,997,6567,262,1731-02-01,119/129
1513,Mariage,998,5076,335,1759-09-05,n/a
1514,Mariage,998,6772,137,1703-02-13,7/094
1515,Mariage,999,4994,135,1783-02-11,360/426
1516,Mariage,1000,6773,137,1700-02-09,197/203
1517,Mariage,1091,6740,137,,88/171
1518,Mariage,1093,5637,255,1869-06-08,4/135
1519,Mariage,1092,7064,329,1893-05-15,143/186
1520,Mariage,1094,7618,137,1715-02-10,42/094
1521,Mariage,1095,7669,5,1885-01-28,23/155
1522,Mariage,1096,6988,51,1890-09-24,n/a
1523,Mariage,1097,7892,252,1752-02-09,92/095
1524,Mariage,1098,4669,323,1827-01-17,146/342
1525,Mariage,1099,7101,312,1813-10-08,n/a
1526,Mariage,1100,5778,252,1677-11-30,26/064
1527,Mariage,1101,6107,44,1677-05-12,n/a
1528,Mariage,1102,4041,182,1704-11-26,193/452
1529,Mariage,1104,5119,162,1727-02-09,25/101
1530,Mariage,1105,7958,162,1739-01-19,43/132
1531,Mariage,1106,4150,308,1735-02-18,n/a
1532,Mariage,1107,5648,205,1900-11-21,15/088
1533,Mariage,1108,6349,143,1900-02-05,5/121
1534,Mariage,1109,6630,273,1891-05-11,87/155
1535,Mariage,1110,5658,273,1853-11-08,380/504
1536,Mariage,1111,5792,192,1886-06-28,18/098
1537,Mariage,1112,3894,73,1882-11-21,55/080
1538,Mariage,1115,4997,343,1685-02-08,44/093
1539,Mariage,1114,5789,273,1849-11-20,55/504
1540,Mariage,1113,6077,273,1766-02-10,119/150
1541,Mariage,1117,6817,130,1863-11-23,78/125
1542,Mariage,1116,4818,130,1892-11-15,19/087
1543,Mariage,1118,7285,273,1742-10-17,56/130
1544,Mariage,1121,4705,273,1846-02-11,239/465
1545,Mariage,1125,6605,11,1767-11-09,82/157
1546,Mariage,1119,6037,273,1885-09-21,29/155
1547,Mariage,1120,6009,273,1875-05-25,73/158
1548,Mariage,1122,7143,273,1886-06-21,36/155
1549,Mariage,1123,5938,273,1845-05-20,179/465
1550,Mariage,1124,6019,273,1878-11-26,117/158
1551,Mariage,1126,6172,212,1873-05-12,100/166
1552,Mariage,1127,5087,120,1787-02-19,153/198
1553,Mariage,1128,8061,205,1864-01-27,169/339
1554,Mariage,1129,6725,205,1891-11-25,91/136
1555,Mariage,1134,6560,272,1831-01-25,102/223
1556,Mariage,1130,5839,162,1854-07-12,189/259
1557,Mariage,1131,6600,162,,191/238
1558,Mariage,1132,6897,162,1810-10-09,357/388
1559,Mariage,1133,8065,162,1835-10-13,96/461
1560,Mariage,1135,4556,273,1864-02-03,88/126
1561,Mariage,1135,8331,273,1888-11-26,59/155
1562,Mariage,1136,4558,50,1706-08-26,36/187
1563,Mariage,1137,2007,333,1642-11-24,19/019
1564,Mariage,1138,467,273,1763-04-20,100/150
1565,Mariage,1139,5169,107,,n/a
1566,Mariage,1140,4494,273,1708-02-07,30/030
1567,Mariage,1141,3670,162,1676-06-09,15/296
1568,Mariage,1141,4387,162,1677-09-06,64/296
1569,Mariage,1143,7278,212,1874-02-03,105/166
1570,Mariage,1142,4588,143,1906-05-15,n/a
1571,Mariage,1144,4659,288,1753-07-01,158/200
1572,Mariage,1145,5381,32,1788-01-30,57/095
1573,Mariage,1146,3883,64,1791-03-02,198/225
1574,Mariage,1148,5685,62,1795-01-20,24/080
1575,Mariage,1148,5788,120,1790-10-26,183/198
1576,Mariage,1147,6126,194,1740-06-20,34/085
1577,Mariage,1148,6869,20,1741-11-23,54/324
1578,Mariage,1150,6841,64,1777-09-10,12/211
1579,Mariage,1149,8098,232,1670-04-23,n/a
1580,Mariage,1151,7268,196,1671-05-12,5/109
1581,Mariage,1152,3671,166,1632-11-06,7/022
1582,Mariage,1152,7520,196,1678-02-15,93/109
1583,Mariage,1152,8300,196,1664-09-16,6/031
1584,Mariage,1153,6921,64,1776-02-13,5/022
1585,Mariage,1154,5706,64,1743-10-09,21/133
1586,Mariage,1156,4131,42,1669-08-27,92/113
1587,Mariage,1157,3853,42,1693-01-27,3/186
1588,Mariage,1157,7394,42,1729-08-02,146/298
1589,Mariage,1158,6043,42,1718-01-25,28/305
1590,Mariage,1158,6044,42,1732-11-03,289/298
1591,Mariage,1159,5158,42,1722-06-30,131/260
1592,Mariage,1159,6450,42,1720-10-08,66/260
1593,Mariage,1159,7218,42,1698-06-25,9/243
1594,Mariage,1159,7297,42,1771-11-26,20/148
1595,Mariage,1160,4750,42,1760-05-20,41/178
1596,Mariage,1160,5160,42,1762-02-09,99/178
1597,Mariage,1155,7633,32,1716-02-05,3/167
1598,Mariage,1161,6534,2,1830-06-15,300/359
1599,Mariage,1162,5290,47,1854-11-08,276/284
1600,Mariage,1163,5532,21,1871-09-06,121/159
1601,Mariage,1164,7640,28,1696-12-01,77/211
1602,Mariage,1166,6681,220,1877-09-12,46/082
1603,Mariage,1165,4917,160,1878-10-20,79/120
1604,Mariage,1167,7465,160,1900-11-06,8/010
1605,Mariage,1169,7476,138,1854-07-25,472/485
1606,Mariage,1168,6969,160,1895-10-29,120/159
1607,Mariage,1170,7181,162,1750-04-07,89/184
1608,Mariage,1172,3799,47,1706-02-10,8/125
1609,Contrat de mariage,1174,6180,162,1790-06-13,78 et 79/363
1610,Mariage,1174,6181,67,1790-06-30,12/068
1611,Mariage,1174,6370,32,1777-11-18,34/067
1612,Mariage,1174,7094,197,1729-07-05,31/056
1613,Mariage,1171,4633,138,1852-09-29,405/485
1614,Mariage,1173,4032,342,1872-04-30,24/098
1615,Mariage,1175,6004,237,1746-02-15,58/069
1616,Mariage,1176,4130,160,1899-01-17,150/159
1617,Mariage,1177,4645,237,1721-06-30,21/106
1618,Mariage,1177,5021,150,1847-05-18,136/269
1619,Mariage,1178,5390,197,1735-02-08,45/056
1620,Mariage,1179,7249,108,1643-02-17,38/069
1621,Mariage,1180,7147,168,1774-02-10,109/259
1622,Mariage,1181,6877,173,1688-02-26,73/073
1623,Mariage,1214,4517,243,,15/225
1624,Mariage,1182,4074,149,1681-02-11,4/028
1625,Mariage,1183,6274,164,1722-02-10,5/110
1626,Mariage,1184,7739,182,1895-11-12,123/158
1627,Mariage,1185,7058,282,1632-08-14,7/049
1628,Mariage,1186,5678,238,1662-01-17,100/166
1629,Mariage,1187,4873,238,1641-11-28,115/211
1630,Mariage,1187,6787,316,1741-07-05,122/236
1631,Mariage,1189,5576,238,1667-01-11,120/166
1632,Mariage,1188,5770,315,1653-07-20,16/018
1633,Mariage,1190,7254,238,1662-02-20,103/166
1634,Mariage,1191,7898,238,1656-11-15,60/166
1635,Mariage,1192,5122,2,1747-01-30,54/158
1636,Mariage,1192,6070,194,1654-01-26,3/042
1637,Mariage,1193,7137,238,1689-05-16,30/062
1638,Mariage,1193,7368,238,1671-01-26,149/166
1639,Mariage,1195,4119,148,1735-08-23,17/110
1640,Mariage,1195,4188,238,1679-08-03,145/174
1641,Mariage,1195,5089,346,1733-06-01,97/131
1642,Mariage,1195,5552,285,1781-07-10,14/177
1643,Mariage,1195,5787,148,1687-07-07,114/129
1644,Mariage,1195,6062,148,1758-02-06,105/116
1645,Mariage,1195,6085,287,1742-06-25,7/120
1646,Mariage,1195,6514,238,1676-06-25,52/174
1647,Mariage,1195,7081,78,1658-02-19,6/010
1648,Mariage,1195,7966,238,1708-09-17,21/175
1649,Mariage,1194,8148,216,1784-10-05,32/104
1650,Mariage,1196,7178,17,1869-09-20,154/159
1651,Mariage,1197,7928,17,1849-10-21,14/300
1652,Mariage,1199,5003,209,1743-08-19,n/a
1653,Mariage,1198,8165,240,1785-05-10,347/384
1654,Mariage,1201,6539,176,1775-10-30,74/140
1655,Mariage,1200,4182,174,1889-07-08,35/111
1656,Mariage,1202,4482,182,1894-01-08,108/158
1657,Mariage,1206,6553,230,1856-06-23,13/161
1658,Publication de mariage,1206,6553,230,1856-05-18,9/161
1659,Mariage,1207,5713,148,1741-11-28,88/110
1660,Mariage,1208,7449,148,1686-02-25,95/129
1661,Mariage,1211,6598,148,1679-09-26,10/129
1662,Mariage,1209,7204,86,1813-01-13,13/019
1663,Mariage,1210,5032,350,1780-02-07,71/111
1664,Mariage,1212,5824,25,1715-08-21,8/059
1665,Mariage,1213,7632,17,1885-12-21,13/099
1666,Mariage,1215,5518,10,1692-07-09,n/a
1667,Contrat de mariage,1216,8265,123,1611-12-21,244 et 245/491
1668,Mariage,1217,6389,315,1885-09-23,28/126
1669,Mariage,1218,8226,238,1655-04-11,43/166
1670,Mariage,1219,7920,238,1662-11-27,106/166
1671,Mariage,1220,5100,42,1676-07-21,27/184
1672,Mariage,1221,4154,238,1789-11-03,57/073
1673,Mariage,1222,6247,294,1820-01-12,145/268
1674,Mariage,1678,7809,327,1645-02-27,n/a
1675,Mariage,1223,8311,160,1900-10-15,7/010
1676,Publication de mariage,1226,4133,174,1843-07-16,35/079
1677,Mariage,1225,4191,180,1895-11-15,92/141
1678,Mariage,1224,5694,180,1905-08-16,6/009
1679,Mariage,1225,8084,274,1880-01-28,65/097
1680,Mariage,1227,5345,180,1881-04-25,97/109
1681,Mariage,1228,8297,324,1874-11-24,20/171
1682,Mariage,1229,4260,314,1897-11-08,22/096
1683,Mariage,1237,6347,238,1631-10-13,14/211
1684,Mariage,1239,3736,174,1781-11-2?,8/009
1685,Mariage,1237,3981,241,1666-06-30,14/022
1686,Mariage,1230,4035,84,1782-05-23,n/a
1687,Mariage,1237,4061,372,1764-02-15,87/163
1688,Mariage,1237,4388,290,1702-10-30,21/230
1689,Mariage,1238,4438,182,1739-10-06,117/354
1690,Mariage,1236,4513,174,1756-07-07,113/163
1691,Mariage,1237,4790,195,1642-01-20,25/064
1692,Mariage,1231,4879,80,1716-02-20,226/393
1693,Mariage,1237,5334,182,1746-08-16,203/354
1694,Mariage,1235,5916,182,1772-11-26,82/210
1695,Mariage,1237,6051,372,1769-07-26,74/161
1696,Mariage,1234,6183,205,1726-06-07,245/326
1697,Mariage,1232,7194,39,1816-02-21,101/291
1698,Mariage,1237,7309,165,1730-01-18,99/242
1699,Mariage,1233,5760,162,1788-10-21,30/215
1700,Mariage,1242,3704,173,1659-08-13,15/029
1701,Mariage,1242,5259,155,1695-02-14,15/130
1702,Mariage,1242,5392,238,1688-07-20,14/062
1703,Mariage,1242,6907,238,1722-10-19,136/235
1704,Mariage,1242,7106,238,1711-01-26,100/175
1705,Mariage,1241,6230,236,1858-02-15,83/145
1706,Publication de mariage,1245,4638,182,1861-01-20,112/223
1707,Mariage,1244,4637,182,1861-02-04,100/223
1708,Mariage,1243,5475,238,1885-05-19,102/167
1709,Mariage,1250,6240,255,1870-02-22,13/135
1710,Mariage,1252,7072,158,1902-07-15,n/a
1711,Mariage,1247,7074,230,1894-04-17,65/102
1712,Mariage,1248,8047,273,1868-06-29,122/126
1713,Mariage,1249,6199,325,1890-02-04,74/146
1714,Mariage,1251,5597,228,1869-11-23,n/a
1715,Mariage,1253,6173,293,1891-04-21,133/165
1716,Publication de mariage,1254,3876,108,1851-05-18,206/405
1717,Mariage,1257,4913,108,1822-03-07,389/431
1718,Mariage,1256,6288,108,1836-08-08,43/413
1719,Mariage,1255,7142,180,1877-07-03,65/109
1720,Mariage,1261,4780,236,1850-11-12,55/145
1721,Mariage,1260,5104,52,1854-07-02,333/358
1722,Mariage,1262,6262,56,1872-01-15,148/156
1723,Mariage,1263,8081,217,1899-10-23,n/a
1724,Mariage,1264,5898,115,1788-02-04,n/a
1725,Mariage,1281,6993,51,1888-06-26,n/a
1726,Mariage,1278,1544,39,1846-05-12,55/365
1727,Mariage,1281,3717,205,1742-05-22,13/187
1728,Mariage,1281,3809,24,1757-01-18,32/112
1729,Mariage,1294,5955,324,1900-01-28,24/038
1730,Publication de mariage,1296,8046,314,1868-08-30,223/298
1731,Mariage,1816,5831,109,1697-11-28,48/098
1732,Mariage,1817,5456,238,1778-06-03,22/128
1733,Mariage,1818,6771,233,1786-10-03,62/090
1734,Mariage,1819,5401,123,1776-01-16,2/344
1735,Contrat de mariage,1820,4413,123,1653-03-29,167 et 168/411
1736,Mariage,1822,4237,355,1861-05-01,50/105
1737,Mariage,1821,7652,47,1901-06-17,17/047
1738,Mariage,1823,8241,47,1826-10-25,45/488
1739,Mariage,1824,4162,162,,220/238
1740,Mariage,1825,3915,56,1834-02-04,235/249
1741,Mariage,1826,7427,73,1843-01-18,30/176
1742,Mariage,1827,7936,56,1829-10-06,206/249
1743,Mariage,1828,4991,335,1798-06-16,28/051
1744,Mariage,1829,7586,64,1830-02-17,n/a
1745,Mariage,1830,4901,139,1873-07-30,31/105
1746,Mariage,1831,6119,144,1836-02-10,95/321
1747,Mariage,1832,6438,162,1817-06-25,235/393
1748,Mariage,1833,5256,238,1886-07-15,142/167
1749,Mariage,1834,7017,258,1736-07-10,157/179
1750,Mariage,1835,7508,148,1726-05-02,26/085
1751,Mariage,1836,7855,220,1703-08-08,n/a
1752,Mariage,1837,5682,275,,90/164
1753,Mariage,1837,7860,220,1704-09-18,n/a
1754,Mariage,1839,4562,275,1768-02-03,84/156
1755,Mariage,1838,5323,97,1764-02-07,8/024
1756,Mariage,1840,4245,253,1830-12-22,116/216
1757,Mariage,1842,4610,258,1782-02-05,70/094
1758,Mariage,1841,5330,138,1848-06-07,257/485
1759,Mariage,1843,4271,182,1721-07-10,354/452
1760,Mariage,1844,3815,27,1738-01-12,153/241
1761,Mariage,1845,4198,220,1780-05-09,106/169
1762,Mariage,1846,7228,265,1780-11-07,n/a
1763,Mariage,1847,6929,265,1775-02-22,n/a
1764,Mariage,1848,3886,86,1706-09-13,44/060
1765,Mariage,1849,6144,120,1701-06-30,41/303
1766,Mariage,1850,6822,63,1679-07-04,10/183
1767,Mariage,1851,5742,138,1817-06-25,258/347
1768,Mariage,1852,6469,238,1722-08-24,131/235
1769,Mariage,1853,5183,286,1739-07-29,13/106
1770,Mariage,1854,6634,333,1689-07-04,40/094
1771,Mariage,1855,4319,57,1785-01-31,423/464
1772,Mariage,1856,8121,44,1763-07-04,n/a
1773,Mariage,1858,5799,333,1692-02-11,52/094
1774,Mariage,1862,3680,57,1688-07-05,58/184
1775,Mariage,1860,4115,182,1809-01-17,177/317
1776,Publication de mariage,1860,4115,182,1808-12-25,172/317
1777,Mariage,1859,5858,57,1785-01-31,423/464
1778,Mariage,1863,7896,333,1634-07-06,10/019
1779,Mariage,1861,8275,311,1754-09-24,109/266
1780,Mariage,1857,4966,374,1698-07-14,78-79/192
1781,Contrat de mariage,1864,7919,123,1608-07-23,291 et 292/515
1782,Mariage,1867,6582,214,,27/037
1783,Mariage,1867,6582,214,,30/037
1784,Mariage,1865,6597,50,1883-06-19,2/006
1785,Mariage,1866,3903,71,1827-02-21,169/233
1786,Mariage,1868,3905,193,1896-10-20,86/109
1787,Mariage,1870,4071,374,1761-06-09,70/161
1788,Mariage,1872,5273,193,1872-11-06,134/202
1789,Mariage,1869,5882,374,1765-01-29,100/161
1790,Mariage,1872,5918,71,1822-02-08,47/233
1791,Mariage,1871,6139,89,1705-01-26,58/152
1792,Mariage,1872,7911,356,1822-02-04,n/a
1793,Mariage,1873,4158,193,1840-11-17,349/469
1794,Mariage,1873,6348,214,1819-01-12,50/331
1795,Mariage,1874,5216,277,1809-07-05,n/a
1796,Mariage,1880,3562,64,1782-02-11,119/211
1797,Mariage,1878,4503,262,1810-09-24,135/170
1798,Mariage,1882,4958,333,1733-02-11,195/320
1799,Mariage,1877,6782,7,1791-06-07,78/081
1800,Mariage,1879,7199,277,1787-04-24,9/020
1801,Mariage,1881,7567,118,1863-06-26,n/a
1802,Mariage,1881,7685,54,1791-11-23,277/279
1803,Mariage,1881,7794,71,1829-10-26,227/233
1804,Mariage,1881,8129,71,1844-09-15,117/345
1805,Mariage,1875,7806,118,1867-06-26,n/a
1806,Mariage,1876,8022,286,1857-01-13,30/197
1807,Mariage,1884,3782,338,1846-02-18,49/408
1808,Mariage,1883,5091,338,1875-06-22,128/175
1809,Mariage,1887,3839,189,1845-05-27,19/540
1810,Publication de mariage,1887,4549,351,1829-10-04,39/543
1811,Mariage,1887,4552,7,1829-10-20,n/a
1812,Mariage,1886,5086,230,1861-04-16,64/161
1813,Publication de mariage,1886,5086,230,1861-03-31,58/161
1814,Mariage,1887,6130,189,1821-06-23,270/400
1815,Mariage,1888,6783,286,1857-09-15,31/197
1816,Mariage,1887,7422,312,1765-06-26,n/a
1817,Mariage,1887,7452,7,1900-01-09,n/a
1818,Mariage,1887,7756,333,1741-07-03,257/320
1819,Mariage,1887,7908,356,1812-07-13,219/301
1820,Mariage,1889,8274,47,1780-11-22,149/315
1821,Mariage,1885,6092,89,1811-11-13,299/300/339
1822,Publication de mariage,1885,6092,89,1811-11-03,270/339
1823,Mariage,1890,1429,351,1746-11-15,297/334
1824,Mariage,1894,3865,374,1696-01-31,57/192
1825,Publication de mariage,1892,4026,89,1813-10-24,10/385
1826,Publication de mariage,1891,4116,182,1809-01-01,209/317
1827,Mariage,1893,5101,351,1771-04-16,17/413
1828,Publication de mariage,1896,6577,144,1869-01-10,96/117
1829,Mariage,1895,7021,71,1771-11-19,10/029
1830,Mariage,1897,3937,195,1847-11-08,412/525
1831,Mariage,1897,4169,214,1814-11-06,215/234
1832,Mariage,1897,5318,214,1819-01-12,52/331
1833,Mariage,1898,6462,47,1770-01-09,39/315
1834,Mariage,1897,6992,214,,27/037
1835,Mariage,1897,6992,214,,30/037
1836,Mariage,1900,3871,374,1696-01-31,57/192
1837,Mariage,1899,4371,195,1813-06-02,210/259
